number,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by,1-n_url
1,1,a4fea1a4137e6afa34cf0dfe684b086822b6cf34,3d9a748974749a49dd503e0f38ddc96a704b065b,3d9a748974749a49dd503e0f38ddc96a704b065b,2018-11-30 18:57:25,2018-11-30 20:50:36,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/3d9a748974749a49dd503e0f38ddc96a704b065b...3d9a748974749a49dd503e0f38ddc96a704b065b.diff
2,5,f0893f1b7af10cdae403faf3f639543ff6ea3a85,2161e369905208b4c5b1bc31b2d99c0b71150d67,2a5d3ff30c357264e90ae15c86e5a03e9324cd91,2018-11-30 21:30:24,2018-11-30 23:13:58,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/2161e369905208b4c5b1bc31b2d99c0b71150d67...2a5d3ff30c357264e90ae15c86e5a03e9324cd91.diff
4,2,b083b98908042b8f40f31101afb9719d00005b54,f07c44c3aa0a4b94e853662d9a5da84a54cf329f,441506feabaabb02634ca57179beecdddda74de9,2018-12-02 15:47:20,2018-12-02 17:55:42,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/f07c44c3aa0a4b94e853662d9a5da84a54cf329f...441506feabaabb02634ca57179beecdddda74de9.diff
5,2,b1dbe8068e7b0fda03260b4788e253503b1ecf0f,a2a1454cb9bacd96ce6eeb11eed20470459544cb,2f7dba57f95ecd3e38a64822d3b7d39aa75a0a0f,2018-12-04 23:06:48,2018-12-21 22:25:21,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/a2a1454cb9bacd96ce6eeb11eed20470459544cb...2f7dba57f95ecd3e38a64822d3b7d39aa75a0a0f.diff
6,1,06ed779f4a8ff594745b199e67dbfa97543573e8,8de0394bae6d59be9228629e2ae95b1ea820ce27,8de0394bae6d59be9228629e2ae95b1ea820ce27,2018-12-07 23:59:06,2018-12-09 17:40:13,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/8de0394bae6d59be9228629e2ae95b1ea820ce27...8de0394bae6d59be9228629e2ae95b1ea820ce27.diff
7,3,25ec9950df355ab0d8479f72638672985b2842e7,57bbd62d2380b5e5d78fc5c525a49740f24661bb,78754441cbbc8fc573416a93ef1047eed1bd291a,2018-12-12 19:49:39,2018-12-21 17:28:09,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/57bbd62d2380b5e5d78fc5c525a49740f24661bb...78754441cbbc8fc573416a93ef1047eed1bd291a.diff
8,1,25ec9950df355ab0d8479f72638672985b2842e7,a14bb9580f3442ca0b39efcd13707cc6f2c424b2,a14bb9580f3442ca0b39efcd13707cc6f2c424b2,2018-12-18 03:53:47,2019-01-15 17:30:38,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/a14bb9580f3442ca0b39efcd13707cc6f2c424b2...a14bb9580f3442ca0b39efcd13707cc6f2c424b2.diff
9,1,25ec9950df355ab0d8479f72638672985b2842e7,31c217a9b9ac83e75cf3a10252ec4fea24f38778,31c217a9b9ac83e75cf3a10252ec4fea24f38778,2018-12-19 00:00:07,2018-12-21 22:20:54,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/31c217a9b9ac83e75cf3a10252ec4fea24f38778...31c217a9b9ac83e75cf3a10252ec4fea24f38778.diff
10,2,552479843d84e51273c435bd19d1af1f56afbab5,494824a503eb45579607683bd16ddd54e8562295,62c15df72e924c301bba225889a319edcb553d0b,2018-12-21 23:47:42,2018-12-21 23:54:57,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/494824a503eb45579607683bd16ddd54e8562295...62c15df72e924c301bba225889a319edcb553d0b.diff
11,6,d7f6bd9377e9464da715ae3b558a531293803d12,bbc973bc6657e2f4787d1869b2fc78bad2813e26,24945f61756077a42ae8c380c71b390dc82cd14e,2018-12-22 01:03:41,2018-12-22 01:52:16,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/bbc973bc6657e2f4787d1869b2fc78bad2813e26...24945f61756077a42ae8c380c71b390dc82cd14e.diff
